Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2021-04-09	20:57:17	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	12	1	0	0	0	67	0		
2021-04-09	20:57:18	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	66	0		
2021-04-09	20:57:19	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	65	0		
2021-04-09	20:57:20	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	64	0		
2021-04-09	20:57:22	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	63	0		
2021-04-09	20:57:23	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	62	0		
2021-04-09	20:57:24	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	61	0		
2021-04-09	20:57:25	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	60	0		
2021-04-09	20:57:26	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	59	0		
2021-04-09	20:57:38	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	12	1	0	0	0	58	0		
2021-04-09	20:57:48	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	57	0		
2021-04-09	20:57:50	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	56	0		
2021-04-09	20:58:07	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	17	1	0	0	0	55	0		
2021-04-09	20:58:27	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	20	1	0	0	0	54	0		
2021-04-09	20:58:28	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	53	0		
2021-04-09	20:58:29	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	52	0		
