Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2021-03-26	18:16:35	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack2	1	1	0	0	0	2	0		
2021-03-26	18:16:36	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack2	1	1	0	0	0	1	0		
2021-03-26	18:19:28	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:19:29	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:21:48	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:21:49	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:23:09	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:23:10	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:24:03	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:29:09	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:29:10	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:34:14	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	304	1	8	67	0	7	1	Crash Found.	
2021-03-26	18:34:55	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-03-26	18:34:56	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:34:57	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-03-26	18:34:59	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	1	1	0	0	0	2	0		
2021-03-26	18:35:00	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	1	1	0	0	0	1	0		
2021-03-26	18:35:02	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	1	1	0	0	0	1	0		
2021-03-26	19:35:03	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	3600	1	41033	492	0	9	0		
2021-03-26	19:35:05	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	1	1	0	0	0	67	0		
2021-03-26	19:35:07	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5b	1	1	0	0	0	4	0		
2021-03-26	19:35:09	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack8	1	1	0	0	0	3	0		
2021-03-26	19:35:11	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack9	1	1	0	0	0	2	0		
2021-03-26	19:35:13	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack10	1	1	0	0	0	2	0		
2021-03-26	20:35:14	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjectionAdvanced/attack6a	3600	1	1434097	661	27084	2	2	Crash Found.	
2021-03-26	22:06:28	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	262	1	2983	9	0	9	0		
2021-03-26	22:10:27	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	194	1	74733	272	650	2	0		
2021-03-26	23:10:58	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	3600	1	1077267	338	2527	3	0		
2021-04-02	15:27:51	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	1	1	0	0	0	2	0		
2021-04-02	15:43:38	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	94	1	36977	282	280	2	0		
2021-04-02	16:04:02	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	104	1	24133	299	68	2	0		
2021-04-02	17:19:50	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	3600	1	46204	9	0	9	0		
2021-04-02	17:41:57	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjectionAdvanced/attack6a	1261	1	7788	4	0	11	2	Crash Found.	
2021-04-02	18:04:37	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjectionAdvanced/attack6a	1201	1	7497	4	0	11	2	Crash Found.	
2021-04-02	20:29:21	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjectionAdvanced/attack6b	1201	1	6989	4	0	9	0		
2021-04-02	21:52:33	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjectionAdvanced/challenge_Login	1200	1	10777	4	0	8	0		
